model,price,score,architecture,cores_threads,base_boost,tdp
Ryzen 9 9950X,600,100,Zen 5,16 / 32,4.3 / 5.7,170W / 230W
Core 9 285K CU-8200 | DDR5-7200,620,95.6,Arrow Lake,24 / 24 (8+16),3.7 / 5.7,125W / 250W
Ryzen 9 7950X,490,89,Zen 4,16 / 32,4.2 / 5.7,120W / 162W
Ryzen 9 7950X3D,600,84.4,Zen 4,16 / 32,4.2 / 5.7,120W / 162W
Core i9-14900K,440,82.6,Raptor Lake Refresh,24 / 32 (8+16),3.2 / 6.0,125W / 253W
Core 7 265K CU-8200,380,82.6,Arrow Lake,20 / 20 (8+12),3.9 / 5.5,125W / 250W
Core i9-13900K,400,80.7,Raptor Lake,24 / 32 (8+16),3.0 / 5.8,125 / 253W
Ryzen 9 9900X,380,78.2,Zen 5,12 / 24,4.4 / 5.6,120W / 162W
Core i7-14700K,440,73.1,Raptor Lake Refresh,20 / 28,3.4 / 5.6,125W / 253W
Ryzen 9 7900X,370,69,Zen 4,12 / 24,4.7 / 5.6,170W / 230W
Core i7-13700K,275,64.8,Raptor Lake,16 / 24 (8+8),3.4 / 5.4,125W / 253W
Ryzen 9 7900X3D,490,63.6,Zen 4,12 / 24,4.4 / 5.6,120W / 162W
Core i9-12900K,280,59.1,Alder Lake,16 / 24 (8+8),3.2 / 5.2,125 / 241W
Ryzen 7 9800X3D,480,58.3,Zen 5,8 / 16,4.7 / 5.2,120W / 162W
Core 5 245K CU-8200 | DDR5-7200,320,57.3,Arrow Lake,14 / 14 (6+8),4.2 / 5.2,125W / 250W
Ryzen 7 9700X,320,55.9,Zen 5,8 /16,3.8 / 5.5,65W / 88W / 105W
Core i5-14600K,235,52.7,Raptor Lake Refresh,14 / 20,3.5 / 5.3,125W / 181W
Core i5-13600K,225,51.7,Raptor Lake,14 / 20 (6+8),3.5 / 5.1,125W / 181W
Core i7-12700K,209,50.3,Alder Lake,12 / 20 (8+4),3.6 / 5.0,125W / 190W
Ryzen 7 7700X,300,47,Zen 4,8 / 16,4.5 / 5.4,105 / 142W
Ryzen 7 7800X3D,460,43.5,Zen 4,8 / 16,4.2 / 5.0,120W / 162W
Ryzen 5 9600X,250,65,Zen 5,6 / 12,3.9 / 5.4,65W / 88W
Core i5-12600K,150,38.4,Alder Lake,10 / 16 (6+4),3.7 / 4.9,125W / 150W
Ryzen 5 7600X,220,36.2,Zen 4,6 / 12,4.7 / 5.3,105W / 142W
Core i5-14400,210,35.3,Raptor Lake Refresh,10 / 16 (6+4),2.5 / 4.7,65W / 148W
Ryzen 5 7600X3D,300,32.8,Zen 4,6 / 12,4.1 / 4.7,65W / 88W
Ryzen 7 5700X3D,220,32,Zen 3,8 / 16,3.0 / 4.1,105 / 142W
